State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
CO,8,2340,Adams-Arapahoe School District 28J,Arapahoe County,5
CO,8,1980,Agate School District 300,Elbert County,39
CO,8,2010,Aguilar Reorganized School District 6,Las Animas County,71
CO,8,2040,Akron School District R-1,Washington County,121
CO,8,2070,Alamosa School District RE-11J,Alamosa County,3
CO,8,2070,Alamosa School District RE-11J,Conejos County,21
CO,8,2190,Archuleta County School District 50-JT,Archuleta County,7
CO,8,2190,Archuleta County School District 50-JT,Hinsdale County,53
CO,8,2220,Arickaree School District R-2,Washington County,121
CO,8,2260,Arriba-Flagler School District C-20,Kit Carson County,63
CO,8,2260,Arriba-Flagler School District C-20,Lincoln County,73
CO,8,2280,Aspen School District 1,Pitkin County,97
CO,8,2310,Ault-Highland School District RE-9,Weld County,123
CO,8,2400,Bayfield School District R-10-JT,Archuleta County,7
CO,8,2400,Bayfield School District R-10-JT,La Plata County,67
CO,8,2430,Bennett School District 29-J,Adams County,1
CO,8,2430,Bennett School District 29-J,Arapahoe County,5
CO,8,2460,Bethune School District R-5,Kit Carson County,63
CO,8,6600,Big Sandy School District 100J,Elbert County,39
CO,8,6600,Big Sandy School District 100J,El Paso County,41
CO,8,2490,Boulder Valley School District RE-2,Boulder County,13
CO,8,2490,Boulder Valley School District RE-2,Broomfield County,14
CO,8,2490,Boulder Valley School District RE-2,Gilpin County,47
CO,8,2520,Branson Reorganized School District 82,Las Animas County,71
CO,8,2550,Briggsdale School District RE-10,Morgan County,87
CO,8,2550,Briggsdale School District RE-10,Weld County,123
CO,8,2580,Brighton School District 27J,Adams County,1
CO,8,2580,Brighton School District 27J,Broomfield County,14
CO,8,2580,Brighton School District 27J,Weld County,123
CO,8,2610,Brush School District RE-2J,Morgan County,87
CO,8,2610,Brush School District RE-2J,Washington County,121
CO,8,2640,Buena Vista School District R-31,Chaffee County,15
CO,8,5640,Buffalo School District RE-4,Logan County,75
CO,8,5640,Buffalo School District RE-4,Morgan County,87
CO,8,5640,Buffalo School District RE-4,Washington County,121
CO,8,2670,Burlington School District RE-6J,Kit Carson County,63
CO,8,2670,Burlington School District RE-6J,Yuma County,125
CO,8,2700,Byers School District 32J,Adams County,1
CO,8,2700,Byers School District 32J,Arapahoe County,5
CO,8,2730,Calhan School District RJ-1,Elbert County,39
CO,8,2730,Calhan School District RJ-1,El Paso County,41
CO,8,2760,Campo School District RE-6,Baca County,9
CO,8,2790,Cañon City School District RE-1,Fremont County,43
CO,8,6360,Centennial School District R-1,Costilla County,23
CO,8,2850,Center School District 26-JT,Alamosa County,3
CO,8,2850,Center School District 26-JT,Rio Grande County,105
CO,8,2850,Center School District 26-JT,Saguache County,109
CO,8,2880,Cheraw School District 31,Otero County,89
CO,8,2910,Cherry Creek School District 5,Arapahoe County,5
CO,8,1,Cheyenne County School District RE-5,Cheyenne County,17
CO,8,2940,Cheyenne Mountain School District 12,El Paso County,41
CO,8,3000,Clear Creek School District RE-1,Clear Creek County,19
CO,8,3060,Colorado Springs School District 11,El Paso County,41
CO,8,3120,Cotopaxi School District RE-3,Fremont County,43
CO,8,3150,Creede Consolidated School District 1,Mineral County,79
CO,8,3180,Cripple Creek-Victor School District RE-1,Teller County,119
CO,8,3210,Crowley County School District RE-1-J,Crowley County,25
CO,8,3210,Crowley County School District RE-1-J,Lincoln County,73
CO,8,7200,Custer County School District C-1,Custer County,27
CO,8,3240,De Beque School District 49-JT,Garfield County,45
CO,8,3240,De Beque School District 49-JT,Mesa County,77
CO,8,3270,Deer Trail School District 26J,Adams County,1
CO,8,3270,Deer Trail School District 26J,Arapahoe County,5
CO,8,3300,Del Norte School District C-7,Rio Grande County,105
CO,8,3330,Delta County School District 50J,Delta County,29
CO,8,3330,Delta County School District 50J,Gunnison County,51
CO,8,3330,Delta County School District 50J,Mesa County,77
CO,8,3330,Delta County School District 50J,Montrose County,85
CO,8,3360,Denver County School District 1,Denver County,31
CO,8,3420,Dolores County School District RE-2,Dolores County,33
CO,8,3420,Dolores County School District RE-2,San Miguel County,113
CO,8,3390,Dolores School District RE-4A,Montezuma County,83
CO,8,3450,Douglas County School District RE-1,Douglas County,35
CO,8,3450,Douglas County School District RE-1,Elbert County,39
CO,8,3480,Durango School District 9-R,La Plata County,67
CO,8,3510,Eads School District RE-1,Kiowa County,61
CO,8,3540,Eagle County School District RE 50,Eagle County,37
CO,8,3540,Eagle County School District RE 50,Garfield County,45
CO,8,3540,Eagle County School District RE 50,Routt County,107
CO,8,4320,East Grand School District 2,Grand County,49
CO,8,5130,East Otero School District R-1,Otero County,89
CO,8,3600,Eaton School District RE-2,Weld County,123
CO,8,3630,Edison School District 54-JT,El Paso County,41
CO,8,3630,Edison School District 54-JT,Lincoln County,73
CO,8,3630,Edison School District 54-JT,Pueblo County,101
CO,8,3690,Elbert School District 200,Elbert County,39
CO,8,3720,Elizabeth School District C-1,Elbert County,39
CO,8,3750,Ellicott School District 22,El Paso County,41
CO,8,3780,Englewood School District 1,Arapahoe County,5
CO,8,3870,Falcon School District 49,El Paso County,41
CO,8,3960,Florence School District RE-2,Custer County,27
CO,8,3960,Florence School District RE-2,El Paso County,41
CO,8,3960,Florence School District RE-2,Fremont County,43
CO,8,4050,Fort Morgan School District RE-3,Morgan County,87
CO,8,4080,Fountain School District 8,El Paso County,41
CO,8,4110,Fowler School District R-4J,Crowley County,25
CO,8,4110,Fowler School District R-4J,Otero County,89
CO,8,4110,Fowler School District R-4J,Pueblo County,101
CO,8,3930,Frenchman School District RE-3,Logan County,75
CO,8,4380,Garfield County School District 16,Garfield County,45
CO,8,6240,Garfield School District RE-2,Garfield County,45
CO,8,4740,Genoa-Hugo School District C-113,Lincoln County,73
CO,8,4230,Gilpin County School District RE-1,Gilpin County,47
CO,8,4290,Granada School District RE-1,Prowers County,99
CO,8,4410,Greeley School District 6,Weld County,123
CO,8,4470,Gunnison Watershed School District RE-1J,Gunnison County,51
CO,8,4470,Gunnison Watershed School District RE-1J,Saguache County,109
CO,8,4500,Hanover School District 28,El Paso County,41
CO,8,4530,Harrison School District 2,El Paso County,41
CO,8,4560,Haxtun School District RE-2J,Logan County,75
CO,8,4560,Haxtun School District RE-2J,Phillips County,95
CO,8,4560,Haxtun School District RE-2J,Sedgwick County,115
CO,8,4560,Haxtun School District RE-2J,Yuma County,125
CO,8,4590,Hayden School District RE-1,Routt County,107
CO,8,6510,Hi-Plains School District R-23,Kit Carson County,63
CO,8,4620,Hinsdale County School District RE-1,Hinsdale County,53
CO,8,4650,Hoehne Reorganized School District 3,Las Animas County,71
CO,8,4680,Holly School District RE-3,Prowers County,99
CO,8,4710,Holyoke School District RE-1J,Phillips County,95
CO,8,4710,Holyoke School District RE-1J,Sedgwick County,115
CO,8,4710,Holyoke School District RE-1J,Yuma County,125
CO,8,7080,Huerfano School District RE-1,Huerfano County,55
CO,8,18,Idalia School District RJ-3,Kit Carson County,63
CO,8,18,Idalia School District RJ-3,Yuma County,125
CO,8,4770,Ignacio School District 11-JT,Archuleta County,7
CO,8,4770,Ignacio School District 11-JT,La Plata County,67
CO,8,4800,Jefferson County School District R-1,Broomfield County,14
CO,8,4800,Jefferson County School District R-1,Jefferson County,59
CO,8,4830,Johnstown-Milliken School District RE-5J,Larimer County,69
CO,8,4830,Johnstown-Milliken School District RE-5J,Weld County,123
CO,8,4860,Julesburg School District RE-1,Phillips County,95
CO,8,4860,Julesburg School District RE-1,Sedgwick County,115
CO,8,4890,Karval School District RE-23,Lincoln County,73
CO,8,4920,Keenesburg School District RE-3J,Adams County,1
CO,8,4920,Keenesburg School District RE-3J,Weld County,123
CO,8,4980,Kim Reorganized School District 88,Las Animas County,71
CO,8,5010,Kiowa School District C-2,Elbert County,39
CO,8,5040,Kit Carson School District R-1,Cheyenne County,17
CO,8,5160,La Veta School District RE-2,Huerfano County,55
CO,8,5190,Lake County School District R-1,Lake County,65
CO,8,5220,Lamar School District RE-2,Prowers County,99
CO,8,5250,Las Animas School District RE-1,Bent County,11
CO,8,5820,Lewis-Palmer School District 38,El Paso County,41
CO,8,19,Liberty School District J-4,Kit Carson County,63
CO,8,19,Liberty School District J-4,Yuma County,125
CO,8,5280,Limon School District RE-4J,Elbert County,39
CO,8,5280,Limon School District RE-4J,Lincoln County,73
CO,8,5310,Littleton School District 6,Arapahoe County,5
CO,8,5340,Lone Star School District 101,Washington County,121
CO,8,5460,Mancos School District RE-6,Montezuma County,83
CO,8,5490,Manitou Springs School District 14,El Paso County,41
CO,8,5520,Manzanola School District 3J,Crowley County,25
CO,8,5520,Manzanola School District 3J,Otero County,89
CO,8,5550,Mapleton School District 1,Adams County,1
CO,8,5580,McClave School District RE-2,Bent County,11
CO,8,5610,Meeker School District RE1,Rio Blanco County,103
CO,8,4350,Mesa County Valley School District 51,Mesa County,77
CO,8,5670,Miami-Yoder School District 60-JT,Elbert County,39
CO,8,5670,Miami-Yoder School District 60-JT,El Paso County,41
CO,8,5670,Miami-Yoder School District 60-JT,Lincoln County,73
CO,8,5700,Moffat Consolidated School District 2,Saguache County,109
CO,8,5730,Moffat County School District RE-1,Moffat County,81
CO,8,5760,Monte Vista School District C-8,Rio Grande County,105
CO,8,3090,Montezuma-Cortez School District RE-1,Montezuma County,83
CO,8,5790,Montrose County School District RE-1J,Gunnison County,51
CO,8,5790,Montrose County School District RE-1J,Montrose County,85
CO,8,5790,Montrose County School District RE-1J,Ouray County,91
CO,8,6300,Mountain Valley School District RE-1,Saguache County,109
CO,8,5100,North Conejos School District RE-1J,Alamosa County,3
CO,8,5100,North Conejos School District RE-1J,Conejos County,21
CO,8,7050,North Park School District R-1,Jackson County,57
CO,8,6900,Northglenn-Thornton School District 12,Adams County,1
CO,8,6900,Northglenn-Thornton School District 12,Broomfield County,14
CO,8,5880,Norwood School District R-2J,Montrose County,85
CO,8,5880,Norwood School District R-2J,San Miguel County,113
CO,8,5940,Otis School District R-3,Washington County,121
CO,8,5970,Ouray School District R-1,Ouray County,91
CO,8,3840,Park County School District RE-2,Park County,93
CO,8,3810,Park School District R-3,Boulder County,13
CO,8,3810,Park School District R-3,Larimer County,69
CO,8,4440,Pawnee School District RE-12,Weld County,123
CO,8,6060,Peyton School District 23-JT,Elbert County,39
CO,8,6060,Peyton School District 23-JT,El Paso County,41
CO,8,6930,Plainview School District RE-2,Kiowa County,61
CO,8,6030,Plateau School District RE-5,Logan County,75
CO,8,3030,Plateau Valley School District 50,Mesa County,77
CO,8,2370,Platte Canyon School District 1,Park County,93
CO,8,6000,Platte Valley School District RE-3,Sedgwick County,115
CO,8,4950,Platte Valley School District RE-7,Weld County,123
CO,8,3990,Poudre School District R-1,Larimer County,69
CO,8,6720,Prairie School District RE-11,Logan County,75
CO,8,6720,Prairie School District RE-11,Weld County,123
CO,8,7260,Primero Reorganized School District 2,Las Animas County,71
CO,8,6090,Pritchett School District RE-3,Baca County,9
CO,8,6120,Pueblo City School District 60,Pueblo County,101
CO,8,6150,Pueblo County School District 70,Pueblo County,101
CO,8,6180,Rangely School District RE-4,Rio Blanco County,103
CO,8,6210,Ridgway School District R-2,Ouray County,91
CO,8,4260,Roaring Fork School District RE-1,Eagle County,37
CO,8,4260,Roaring Fork School District RE-1,Garfield County,45
CO,8,4260,Roaring Fork School District RE-1,Pitkin County,97
CO,8,6270,Rocky Ford School District R-2,Otero County,89
CO,8,6330,Salida School District R-32,Chaffee County,15
CO,8,6330,Salida School District R-32,Fremont County,43
CO,8,6390,Sanford School District 6J,Alamosa County,3
CO,8,6390,Sanford School District 6J,Conejos County,21
CO,8,6420,Sangre de Cristo School District RE-22J,Alamosa County,3
CO,8,6420,Sangre de Cristo School District RE-22J,Saguache County,109
CO,8,6450,Sargent School District RE-33J,Alamosa County,3
CO,8,6450,Sargent School District RE-33J,Rio Grande County,105
CO,8,6540,Sheridan School District 2,Arapahoe County,5
CO,8,4140,Sierra Grande School District R-30,Costilla County,23
CO,8,6570,Silverton School District 1,San Juan County,111
CO,8,2130,South Conejos School District RE-10,Conejos County,21
CO,8,5910,South Routt School District RE-3,Rio Blanco County,103
CO,8,5910,South Routt School District RE-3,Routt County,107
CO,8,6630,Springfield School District RE-4,Baca County,9
CO,8,5370,St. Vrain Valley School District RE 1J,Boulder County,13
CO,8,5370,St. Vrain Valley School District RE 1J,Broomfield County,14
CO,8,5370,St. Vrain Valley School District RE 1J,Larimer County,69
CO,8,5370,St. Vrain Valley School District RE 1J,Weld County,123
CO,8,6660,Steamboat Springs School District RE-2,Routt County,107
CO,8,6750,Strasburg School District 31J,Adams County,1
CO,8,6750,Strasburg School District 31J,Arapahoe County,5
CO,8,6780,Stratton School District R-4,Kit Carson County,63
CO,8,6810,Summit School District RE-1,Summit County,117
CO,8,6840,Swink School District 33,Otero County,89
CO,8,6870,Telluride School District R-1,San Miguel County,113
CO,8,5400,Thompson School District R-2J,Boulder County,13
CO,8,5400,Thompson School District R-2J,Larimer County,69
CO,8,5400,Thompson School District R-2J,Weld County,123
CO,8,6960,Trinidad School District 1,Las Animas County,71
CO,8,6690,Valley School District RE-1,Logan County,75
CO,8,6990,Vilas School District RE-5,Baca County,9
CO,8,7110,Walsh School District RE-1,Baca County,9
CO,8,4200,Weld County School District RE-1,Weld County,123
