State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
CT,9,4830,Waterbury School District,New Haven County,9
CT,9,4860,Waterford School District,New London County,11
CT,9,4890,Watertown School District,Litchfield County,5
CT,9,4920,West Hartford School District,Hartford County,3
CT,9,4950,West Haven School District,New Haven County,9
CT,9,4980,Westbrook School District,Middlesex County,7
CT,9,5010,Weston School District,Fairfield County,1
CT,9,5040,Westport School District,Fairfield County,1
CT,9,5070,Wethersfield School District,Hartford County,3
CT,9,5100,Willington School District,Tolland County,13
CT,9,5130,Wilton School District,Fairfield County,1
CT,9,5160,Winchester School District,Litchfield County,5
CT,9,5190,Windham School District,Windham County,15
